Grid_ID,Temperature_Difference_Mid_Century,Temperature_Difference_End_of_Century
793,2.1508636,5.5623474
794,2.1384888,5.5421143
795,2.1401062,5.55249
796,2.1297607,5.5312805
797,2.128006,5.5220795
798,2.1172943,5.51033
799,2.1045685,5.49942
800,2.1101227,5.5010834
801,2.0995789,5.4899597
802,2.1017303,5.478897
803,2.0901794,5.494461
804,2.0745697,5.490219
805,2.070755,5.48085
806,2.0696564,5.4821167
807,2.0813751,5.4879456
808,2.0872192,5.486969
809,2.0880127,5.491745
810,2.0752106,5.496826
811,2.0753174,5.495407
812,2.0734558,5.497574
813,2.0542755,5.485077
814,2.0672913,5.4767914
815,2.0735931,5.482773
816,2.0712128,5.4969025
817,2.0700989,5.4996033
818,2.0803375,5.5074463
819,2.0708466,5.515457
820,2.06604,5.510849
821,2.0572205,5.502411
822,2.0632324,5.4997864
823,2.0647278,5.4991913
824,2.0592804,5.5000763
825,2.076477,5.501587
826,2.0752258,5.496338
827,2.061615,5.509369
828,2.0658112,5.4929047
829,2.062683,5.4802246
830,2.0629272,5.487915
831,2.072113,5.494095
832,2.0826263,5.494507
833,2.0886536,5.4785156
834,2.0865173,5.4692535
835,2.087616,5.4673767
836,2.0759888,5.4644165
837,2.0763092,5.4795685
838,2.0776978,5.4657135
839,2.0769043,5.446472
840,2.082779,5.430023
841,2.080017,5.424118
842,2.0920715,5.412674
843,2.0808258,5.388275
844,2.0663452,5.387146
845,2.059723,5.3827057
846,2.0589905,5.3750916
847,2.060913,5.3640747
848,2.054718,5.3465576
849,2.0408478,5.320633
850,2.0601044,5.316345
851,2.0490265,5.312866
852,2.0783691,5.3276367
853,2.0847626,5.348694
854,2.0707703,5.3257294
855,2.0985565,5.3435974
856,2.0951996,5.330429
857,2.0697632,5.3477325
858,2.0770721,5.3411865
859,2.093979,5.328003
860,2.113739,5.3543243
861,2.111084,5.339386
862,2.122345,5.3454437
863,2.146988,5.378235
864,2.157318,5.3856354
865,2.166626,5.405548
866,2.1829376,5.4376526
867,2.1789856,5.4471893
868,2.176529,5.451416
869,2.1580353,5.4164124
870,2.1471252,5.4013977
871,2.1689148,5.418289
872,2.1696472,5.404892
873,2.1743011,5.4150085
874,2.1757355,5.39653
875,2.1884918,5.3670044
876,2.2032776,5.3787384
877,2.212143,5.3861237
878,2.203354,5.35878
879,2.2158813,5.3589935
880,2.208603,5.3316956
881,2.1971283,5.324951
882,2.202301,5.3155212
883,2.192337,5.3007355
884,2.1934662,5.2972107
885,2.1970978,5.2727356
886,2.19487,5.2574615
887,2.188385,5.2492065
888,2.1770477,5.213684
889,2.1785126,5.194046
890,2.1578217,5.143997
891,2.1377869,5.098999
892,2.1256409,5.078354
893,2.1255188,5.0665894
894,2.1270142,5.0458984
895,2.1236725,5.0082855
896,2.110382,4.9815216
897,2.0825806,4.9526215
898,2.0655975,4.9193726
899,2.0494232,4.8807526
900,2.0475311,4.857315
901,2.0382538,4.8307495
902,2.0213928,4.7987213
903,2.0121307,4.771408
904,2.003006,4.747864
905,1.9987488,4.717758
906,1.9895935,4.6961365
907,1.9764404,4.6692047
908,1.9727478,4.644165
909,1.9584503,4.626053
910,1.969284,4.601486
911,1.9742279,4.582443
912,1.9764252,4.5598297
913,1.9816437,4.5434723
914,1.9901886,4.5400543
915,1.9840698,4.5359497
916,2.003601,4.5329895
917,2.0133057,4.526184
918,2.0121918,4.530258
919,2.011795,4.5264587
920,2.0220947,4.5151825
921,2.0321655,4.518585
922,2.0407715,4.5217133
923,2.052353,4.5358887
924,2.0764618,4.543869
925,2.0802155,4.543701
926,2.0854492,4.5596466
927,2.1009674,4.5658264
928,2.121231,4.5754395
929,2.1140137,4.5747223
930,2.1222076,4.5797424
931,2.130066,4.584778
932,2.1396332,4.603775
933,2.1441345,4.625122
934,2.1516418,4.6414337
935,2.1560822,4.65683
936,2.1792297,4.6750793
937,2.1632538,4.6717377
938,2.176056,4.685791
939,2.1876526,4.698944
940,2.2029877,4.7145996
941,2.2002258,4.7185974
942,2.2010345,4.7198334
943,2.202591,4.7256927
944,2.2095795,4.7308655
945,2.2161713,4.7355194
946,2.220398,4.746765
947,2.2375488,4.764908
948,2.2363892,4.7764893
949,2.23143,4.753647
950,2.2249298,4.7523346
951,2.239029,4.7580566
952,2.2394562,4.747772
953,2.2310333,4.740494
954,2.2319336,4.7374268
955,2.2238617,4.7347565
956,2.2217865,4.723068
957,2.217514,4.7078247
958,2.2072754,4.696457
959,2.1945038,4.6787415
960,2.170288,4.6460266
961,2.1496582,4.6020355
962,2.1321106,4.591736
963,2.111267,4.553543
964,2.1008606,4.526291
965,2.087967,4.490341
966,2.0760345,4.460327
967,2.0700073,4.4359436
968,2.0446014,4.4008636
969,2.034378,4.362961
970,2.0330048,4.3396454
971,2.002365,4.3012543
972,1.9956207,4.27594
973,1.995285,4.24852
974,1.9880829,4.2188416
975,1.9803772,4.183548
976,1.9674377,4.1653137
977,1.9642029,4.1539307
978,1.9628754,4.131775
979,1.9481812,4.115753
980,1.9299927,4.0755157
981,1.9272003,4.0602417
982,1.9166718,4.0432434
983,1.9026794,4.0265503
984,1.895935,4.001816
985,1.8914795,3.977829
986,1.8930969,3.9644623
987,1.8934937,3.9500885
988,1.9003296,3.9465485
989,1.8985596,3.9316406
990,1.890213,3.912506
991,1.8927002,3.9023132
992,1.8940277,3.89888
993,1.8939056,3.8985443
994,1.8859711,3.8858185
995,1.893753,3.8859253
996,1.8942719,3.878601
997,1.8910522,3.870819
998,1.8891602,3.8606567
999,1.8960114,3.8709106
1000,1.902771,3.8736115
1001,1.9102631,3.8826752
1002,1.9271393,3.9010925
1003,1.9225006,3.897873
1004,1.9256744,3.8989563
1005,1.9365082,3.9124146
1006,1.9476624,3.933014
1007,1.9586334,3.9438324
1008,1.9526978,3.94812
1009,1.9553223,3.9573212
1010,1.9668427,3.9776459
1011,1.9637451,3.986618
1012,1.9970093,4.003662
1013,2.0026703,4.035492
1014,2.0127258,4.0597534
1015,2.0178986,4.066864
1016,2.0144958,4.069504
1017,2.0273743,4.092926
1018,2.0397491,4.103653
1019,2.0596619,4.129776
1020,2.0552063,4.1406097
1021,2.058014,4.15361
1022,2.0730286,4.1654663
1023,2.113205,4.2002716
1024,2.1270447,4.20459
1025,2.127243,4.216812
1026,2.1320648,4.2369385
1027,2.1603546,4.2684174
1028,2.1821442,4.318817
1029,2.1598053,4.336792
1030,2.1609192,4.3213806
1031,2.1318512,4.312805
1032,2.1525269,4.3343964
1033,2.1513977,4.344864
1034,2.156662,4.352722
1035,2.1581573,4.383087
1036,2.1719666,4.3784637
1037,2.160843,4.359909
1038,2.1521454,4.362442
1039,2.1428528,4.346878
1040,2.117218,4.3152924
